,Team Payroll,Season Wins
517,87959833.0,78
518,87754334.0,69
519,81543833.0,63
520,86959167.0,93
521,80282668.0,93
522,75652500.0,116
523,58915000.0,91
524,45351254.0,79
525,162830430.0,91
526,101583666.0,88
527,113586266.0,83
528,116295166.0,86
529,98676957.0,100
530,111020360.0,90
531,93552086.0,97
532,110300862.0,88
533,105433572.0,90
534,93540753.0,86
535,77605109.0,91
536,100624450.0,86
537,90286823.0,78
538,88891371.0,83
539,92106833.0,100
540,75633517.0,105
541,83496666.0,85
542,74098267.0,97
543,77270855.0,93
544,61453863.0,95
545,46337129.0,75
546,60444931.0,96
547,69605999.0,90
548,63338033.0,80
549,53657743.0,68
550,72482918.0,80
551,77062891.0,77
552,51903072.0,92
553,64173500.0,90
554,41053571.0,91
555,71923471.0,96
556,63313034.0,84
557,43820598.0,97
558,24123500.0,66
559,35417967.0,61
560,29363067.0,67
561,29506667.0,70
562,19630000.0,63
563,34380000.0,55
564,54798500.0,62
565,62765129.0,69
566,37860451.0,69
567,127660652.0,78
568,128821249.0,67
569,155764342.0,78
570,112705390.0,95
571,97574040.0,88
572,136036172.0,67
573,110917100.0,91
574,120510974.0,93
575,92299264.0,96
576,55250545.0,90
577,68178798.0,87
578,68239551.0,79
579,68318675.0,75
580,68228662.0,80
581,55849000.0,79
582,54825973.0,89
583,103491667.0,71
584,105302124.0,72
585,88504421.0,73
586,70795921.0,71
587,80801598.0,95
588,112037006.0,67
589,164122200.0,73
590,121767667.0,76
591,146179900.0,89
592,98895700.0,93
593,132628700.0,83
594,113044500.0,74
595,75489200.0,73
596,62567800.0,81
597,62689357.0,85
598,80538300.0,75
599,98641957.0,86
600,81942800.0,83
601,71915000.0,87
602,45719500.0,80
603,50017000.0,67
604,51269000.0,86
605,76864333.0,78
606,75798500.0,80
607,46238333.0,83
608,48847300.0,84
609,161877935.0,93
610,141622200.0,82
611,124804062.0,97
612,118793822.0,95
613,148676453.0,83
614,134704437.0,96
615,111356769.0,86
616,81336143.0,98
617,63856928.0,80
618,61425000.0,69
619,60328000.0,59
620,54961000.0,59
621,37347500.0,73
622,63143000.0,71
623,48581500.0,81
624,43197500.0,67
625,51948500.0,83
626,38670500.0,83
627,34774500.0,68
628,34807333.0,67
629,15015250.0,68
